Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
2022_2t_AM,o00407-0202000450069.logjez,02020,0045,1120,0069,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,9C1FABBD
2022_2t_AM,o00407-0202000450070.logjez,02020,0045,1120,0070,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,EB1A8508
2022_2t_AM,o00407-0202000450071.logjez,02020,0045,1120,0071,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,EA8D0A61
2022_2t_AM,o00407-0202000450074.logjez,02020,0045,1015,0074,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,D6F52200
2022_2t_AM,o00407-0203800330001.logjez,02038,0033,1058,0001,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,1B85E64B
2022_2t_AM,o00407-0203800330002.logjez,02038,0033,1023,0002,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,C63EB57E
2022_2t_AM,o00407-0203800330003.logjez,02038,0033,1023,0003,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,02882C63
2022_2t_AM,o00407-0203800330004.logjez,02038,0033,1023,0004,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,1656CC17
2022_2t_AM,o00407-0203800330005.logjez,02038,0033,1023,0005,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,C41E3FD7
2022_2t_AM,o00407-0203800330006.logjez,02038,0033,1023,0006,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,5CF5DCF3
2022_2t_AM,o00407-0203800330007.logjez,02038,0033,1023,0007,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,B7BBF6BE
2022_2t_AM,o00407-0203800330008.logjez,02038,0033,1023,0008,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,087A658A
2022_2t_AM,o00407-0203800330014.logjez,02038,0033,1023,0014,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,02F12747
2022_2t_AM,o00407-0203800330015.logjez,02038,0033,1058,0015,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,90C25DB2
2022_2t_AM,o00407-0203800330016.logjez,02038,0033,1023,0016,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,4B9CE8DA
2022_2t_AM,o00407-0203800330019.logjez,02038,0033,1023,0019,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,F1FA22FB
2022_2t_AM,o00407-0203800330020.logjez,02038,0033,1066,0020,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,7DFE4EAD
2022_2t_AM,o00407-0203800330021.logjez,02038,0033,1066,0021,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,3FA34BA5
2022_2t_AM,o00407-0203800330022.logjez,02038,0033,1066,0022,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,0426D9AA
2022_2t_AM,o00407-0203800330026.logjez,02038,0033,1066,0026,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,3C98E849
2022_2t_AM,o00407-0203800330031.logjez,02038,0033,1023,0031,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,F5D7A88B
2022_2t_AM,o00407-0203800330032.logjez,02038,0033,1066,0032,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,7844507B
2022_2t_AM,o00407-0203800330033.logjez,02038,0033,1023,0033,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,22954B2B
2022_2t_AM,o00407-0203800330034.logjez,02038,0033,1058,0034,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,33D30ADD
2022_2t_AM,o00407-0203800330035.logjez,02038,0033,1058,0035,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,A5906AD4
2022_2t_AM,o00407-0203800330036.logjez,02038,0033,1074,0036,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,AD28475C
